年度,類別,獎項,得獎名單
101,節目獎,流行音樂節目獎,記憶的鑰匙（內政部警政署警察廣播電臺臺北總臺）
101,節目獎,非流行音樂節目獎,山與山的對話：好好聽客家（環宇廣播事業股份有限公司）
101,節目獎,教育文化節目獎,科科創意研究室（漢聲廣播電臺臺北總臺）
101,節目獎,兒童節目獎,陽光小豆芽（內政部警政署警察廣播電臺臺北總臺）
101,節目獎,少年節目獎,少年NPO（正聲廣播股份有限公司臺北調頻廣播電臺）
101,節目獎,社會關懷節目獎,溫馨快遞（國立教育廣播電臺）
101,節目獎,藝術文化節目獎,世界夢想音樂廳（國立教育廣播電臺）
101,節目獎,綜合節目獎,台灣鹹酸甜（國立教育廣播電臺）
101,節目獎,社區節目獎,台灣鹹酸甜（國立教育廣播電臺）
101,節目獎,廣播劇獎,都會劇場—臺北文學賞（臺北廣播電臺）
101,節目獎,單元節目獎,大夥房下我的歌（竹科廣播股份有限公司）
101,個人獎,流行音樂節目主持人獎,阿國、琇如／中古老歌廳（內政部警政署警察廣播電臺臺北臺）
101,個人獎,非流行音樂節目主持人獎,眭澔平／世界音樂之旅（苗栗正義廣播電台股份有限公司）
101,個人獎,教育文化節目主持人獎,宋銘【宋修聖】、邵文心／香榭大道（漢聲廣播電臺臺北總臺）
101,個人獎,兒童節目主持人獎,小茱姐姐【施賢琴】、小福爾【陳正翰】、小摩斯【郭孔勳】／人人都是大明星（國立教育廣播電臺）
101,個人獎,少年節目主持人獎,蕭曼屏／少年科學週報（國立教育廣播電臺）
101,個人獎,社會關懷節目主持人獎,燕柔【陳燕柔】／溫馨快遞（國立教育廣播電臺）
101,個人獎,藝術文化節目主持人獎,端端【陳端慧】／世界夢想音樂廳（國立教育廣播電臺）
101,個人獎,綜合節目主持人獎,王一明【王騰懋】、梅子【張文玲】／台灣答嘴鼓（台灣聲音廣播興業股份有限公司）
101,個人獎,社區節目主持人獎,潘國正、洪惠冠／愛上新竹（竹科廣播股份有限公司）
101,個人獎,企劃編撰獎,安達【黃裕庭】、采琦【金玉琦】／音樂地圖（內政部警政署警察廣播電臺宜蘭臺）
101,個人獎,音效獎,Arthur【陳冠鳴】、小雨姐姐【陳麗純】／奇幻島（高雄廣播電臺）
101,廣告獎,商品類廣告獎,吳鳳科技大學—出草篇（正聲廣播股份有限公司嘉義廣播電臺）
101,廣告獎,非商品類廣告獎,人聲，以服務為目的！（財團法人中央廣播電臺）
101,電臺獎,電臺臺呼獎,寶島新聲臺呼歌仔戲版（寶島新聲廣播電台股份有限公司）
101,電臺獎,電臺行銷創新獎,「來自全球@祝福 讓世界看見臺灣」國際行銷案（財團法人中央廣播電臺）
101,電臺獎,專業頻道獎,科技人文專業電台（竹科廣播股份有限公司）
101,研究發展獎,研究發展獎,陳冠鳴／雲端廣播策略與實作（高雄市廣播教育協會推薦）
102,節目獎,流行音樂節目獎,音樂地球村（國立教育廣播電臺高雄分臺）
102,節目獎,非流行音樂節目獎,焦點音樂（好家庭廣播股份有限公司）
102,節目獎,教育文化節目獎,老師不在教室（內政部警政署警察廣播電臺總臺）
102,節目獎,兒童節目獎,幸福進行曲（財團法人中央廣播電臺）
102,節目獎,少年節目獎,少年超優SHOW（國立教育廣播電臺）
102,節目獎,社會關懷節目獎,真相與真情（漢聲廣播電臺臺北總臺）
102,節目獎,藝術文化節目獎,美麗的臺灣（財團法人中央廣播電臺）
102,節目獎,綜合節目獎,原來在臺北（臺北廣播電臺）
102,節目獎,社區節目獎,愛上新竹（竹科廣播股份有限公司）
102,節目獎,廣播劇獎,漢聲劇場（漢聲廣播電臺臺北總臺）
102,節目獎,單元節目獎,話出東方經典 Classic Shorts（財團法人中央廣播電臺）
102,個人獎,流行音樂節目主持人獎,袁永興／音樂歲月––說音樂的人（復興廣播電臺）
102,個人獎,非流行音樂節目主持人獎,張翰揚／當音樂來敲門（正聲廣播股份有限公司臺北調頻廣播電臺）
102,個人獎,教育文化節目主持人獎,咖啡貓【楊盈箴】／藝論紛紛（財團法人佳音廣播電台）
102,個人獎,兒童節目主持人獎,小茱姐姐【施賢琴】、陳正翰／我愛福爾摩莎（國立教育廣播電臺彰化分臺）
102,個人獎,少年節目主持人獎,何方【陳晞】／你facebook了嗎（復興廣播電臺）
102,個人獎,社會關懷節目主持人獎,楊長順／日出的所在（正聲廣播股份有限公司雲林廣播電臺）
102,個人獎,藝術文化節目主持人獎,朱家綺／我的綺想世界（財團法人中央廣播電臺）
102,個人獎,綜合節目主持人獎,曲艾玲、阮安祖／東饗西饗 Feast Meets West（財團法人中央廣播電臺）
102,個人獎,社區節目主持人獎,排灣小蔡【蔡文祥】、阿美姞荷【林祝素蘭】／有原來相會（國立教育廣播電臺）
102,個人獎,企劃編撰獎,王秀芳／音樂共和國—大愛廣播劇場（財團法人慈濟傳播人文志業基金會）
102,個人獎,音效獎,顏志成、陳燕柔／晚安故事屋（國立教育廣播電臺）
102,廣告獎,商品類廣告獎,桑瑪克隔熱紙—德古拉的自白（財團法人健康傳播事業基金會）
102,廣告獎,非商品類廣告獎,叫賣達人系列（內政部警政署警察廣播電臺總臺）
102,電臺獎,電臺臺呼獎,警廣系列臺呼（內政部警政署警察廣播電臺總臺）
102,電臺獎,電臺行銷創新獎,「泰想見到您」泰籍優秀勞工子女來臺省親活動（財團法人中央廣播電臺）
102,電臺獎,專業頻道獎,專業新聞頻道（台灣全民廣播電台股份有限公司）
102,研究發展獎,研究發展獎,陳建志、曾斐瑜、陳慧娟／我是一片雲—數位匯流下的雲端廣播（國立教育廣播電臺推薦）
102,特別貢獻獎,特別貢獻獎,余光【喻光國】／內政部警政署警察廣播電臺總臺推薦
103,節目獎,流行音樂節目獎,音樂五四三（參賽單位：台灣全民廣播電台股份有限公司）
103,節目獎,非流行音樂節目獎,歌謠戀春風（參賽單位：財團法人中央廣播電臺）
103,節目獎,教育文化節目獎,自然筆記（參賽單位：國立教育廣播電臺臺東分臺）
103,節目獎,兒童節目獎,人人都是大明星（參賽單位：國立教育廣播電臺）
103,節目獎,少年節目獎,少年大法師（參賽單位：國立教育廣播電臺高雄分臺）
103,節目獎,社會關懷節目獎,陽光下的彩虹（參賽單位：財團法人中央廣播電臺）
103,節目獎,藝術文化節目獎,現在演哪齣（參賽單位：內政部警政署警察廣播電臺總臺）
103,節目獎,綜合節目獎,元氣好時光（參賽單位：正聲廣播股份有限公司臺北調頻廣播電臺）
103,節目獎,社區節目獎,有原來相會（參賽單位：國立教育廣播電臺）
103,節目獎,廣播劇獎,"「時光隧道」~發現1624,Lost in Dutch Formosa（參賽單位：財團法人中央廣播電臺）"
103,節目獎,單元節目獎,音樂旅行（參賽單位：高雄廣播電臺）
103,個人獎,流行音樂節目主持人獎,黃子佼／哥哥妹妹有意思之哥哥露兩點（報名單位：飛碟廣播股份有限公司）
103,個人獎,非流行音樂節目主持人獎,北原山貓【吳廷宏（杜賴瓦旦）】／北原山貓聊天來~依呀呼（報名單位：財團法人中央廣播電臺）
103,個人獎,教育文化節目主持人獎,黃迺毓、劉清彥／閱讀推手（報名單位：好家庭廣播股份有限公司）
103,個人獎,兒童節目主持人獎,趙自強／九點強強滾（報名單位：台灣全民廣播電台股份有限公司）
103,個人獎,少年節目主持人獎,唐妮【吳文嫦】、季潔【蔡宜穎】／少年超優Show（報名單位：國立教育廣播電臺）
103,個人獎,社會關懷節目主持人獎,朱玉娟／轉角有藍天（報名單位：國立教育廣播電臺）
103,個人獎,藝術文化節目主持人獎,林夢萍、王晴／現在演哪齣（報名單位：內政部警政署警察廣播電臺總臺）
103,個人獎,綜合節目主持人獎,宋少卿、李維真／週末大舞台（報名單位：財團法人中央廣播電臺）
103,個人獎,社區節目主持人獎,潘國正、洪惠冠／愛上新竹（報名單位：竹科廣播股份有限公司）
103,個人獎,企劃編撰獎,田麗雲、李心茹／午后文學館–青番公的故事（報名單位：竹科廣播股份有限公司）
103,個人獎,音效獎,"林建成、徐進輝／「時光隧道」~發現1624,Lost in Dutch Formosa（報名單位：財團法人中央廣播電臺）"
103,廣告獎,商品類廣告獎,1111人力銀行 電話語音篇（參賽單位：晴天廣告有限公司）
103,廣告獎,非商品類廣告獎,飛行狂響（參賽單位：正聲廣播股份有限公司臺北調頻廣播電臺）
103,電臺獎,電臺臺呼獎,路況報馬仔–FM94.5、就是點我系列（參賽單位：內政部警政署警察廣播電臺臺中分臺）
103,電臺獎,電臺品牌行銷創新獎,央廣85˙RTI無所不在（參賽單位：財團法人中央廣播電臺）
103,數位應用獎,電臺臺呼獎,飛碟廣播股份有限公司／飛碟聯播網APP（中華民國廣播商業同業公會推薦）
104,節目獎,流行音樂節目獎,音樂五四三（參賽單位：台灣全民廣播電台股份有限公司）
104,節目獎,非流行音樂節目獎,音樂二三事（參賽單位：國立教育廣播電臺）
104,節目獎,教育文化節目獎,臺灣文學作家系列（參賽單位：財團法人中央廣播電臺）
104,節目獎,兒童節目獎,小偵探看媒體（參賽單位：國立教育廣播電臺）
104,節目獎,少年節目獎,翻轉地圖（參賽單位：內政部警政署警察廣播電臺）
104,節目獎,社會關懷節目獎,快樂麥克風（參賽單位：全景社區廣播電台股份有限公司）
104,節目獎,藝術文化節目獎,談天說地講臺灣（參賽單位：財團法人中央廣播電臺）
104,節目獎,綜合節目獎,用心聽台灣（參賽單位：國立教育廣播電臺）
104,節目獎,社區節目獎,樂活社區水噹噹（參賽單位：正聲廣播股份有限公司臺中廣播電臺）
104,節目獎,廣播劇獎,假日聽電影（參賽單位：正聲廣播股份有限公司高雄廣播電臺）
104,節目獎,單元節目獎,寶島新故鄉（參賽單位：寶島新聲廣播電臺股份有限公司）
104,個人獎,流行音樂節目主持人獎,馬世芳／音樂五四三（報名單位：台灣全民廣播電台股份有限公司）
104,個人獎,非流行音樂節目主持人獎,李菁【李芝菁】、羅國盛／歌謠戀春風（報名單位：財團法人中央廣播電臺）
104,個人獎,教育文化節目主持人獎,燕子【賴素燕】、陳凰鳳、楊喬宇、吳巧儂、丁安妮、趙二娟／幸福聯合國（報名單位：國立教育廣播電臺）
104,個人獎,兒童節目主持人獎,小茱姐姐【施賢琴】／小偵探看媒體（報名單位：國立教育廣播電臺）
104,個人獎,少年節目主持人獎,鄭晴、芳君／翻轉地圖（報名單位：內政部警政署警察廣播電臺）
104,個人獎,社會關懷節目主持人獎,梁兄哥【梁明達】／這些人與那些人（報名單位：正聲廣播股份有限公司臺北調頻廣播電臺）
104,個人獎,藝術文化節目主持人獎,明華【吳祝育】、林茂賢／談天說地講臺灣（報名單位：財團法人中央廣播電臺）
104,個人獎,綜合節目主持人獎,土豆仁【王裕仁】／用心聽台灣（報名單位：國立教育廣播電臺）
104,個人獎,社區節目主持人獎,溫士凱／全世界來作客（報名單位：中國廣播股份有限公司臺北總臺）
104,個人獎,企劃編撰獎,阿珮【黃琇珮】、阿宥／快樂麥克風（報名單位：全景社區廣播電台股份有限公司）
104,個人獎,音效獎,吳坤龍、許淳清／假日聽電影（報名單位：正聲廣播股份有限公司高雄廣播電臺）
104,廣告獎,商品類廣告獎,元大廚具男人篇（參賽單位：城市廣播股份有限公司）
104,廣告獎,非商品類廣告獎,珍惜水資源（參賽單位：王子音樂出版社）
104,電臺品牌行銷創新獎,電臺品牌行銷創新獎,百轉千迴典藏黑膠特展（參賽單位：正聲廣播股份有限公司臺北調頻廣播電臺）
104,數位應用獎,數位應用獎,吳庭煦／廣播媒體數位應用價值觀談典藏歷史聲音的感動與創造多元媒體的接觸（報名單位：正聲廣播股份有限公司臺北調頻廣播電臺）
104,特別貢獻獎,特別貢獻獎,李季準先生
105,節目獎,流行音樂節目獎,拍律遊樂園（參賽單位：國立教育廣播電臺）
105,節目獎,非流行音樂節目獎,音樂伸展台-音樂花茶（參賽單位：高雄廣播電臺）
105,節目獎,教育文化節目獎,臺灣故事島（參賽單位：臺北廣播電臺）
105,節目獎,兒童節目獎,音樂故事灣（參賽單位：竹科廣播股份有限公司）
105,節目獎,少年節目獎,小太陽的天空（參賽單位：內政部警政署警察廣播電臺）
105,節目獎,社會關懷節目獎,生命大不同（參賽單位：財團法人中央廣播電臺）
105,節目獎,藝術文化節目獎,我的綺想世界（參賽單位：財團法人中央廣播電臺）
105,節目獎,綜合節目獎,自然有意思（參賽單位：國立教育廣播電臺）
105,節目獎,社區節目獎,Mapolong Kita（原來在一起）（參賽單位：花蓮希望之聲廣播電台股份有限公司）
105,節目獎,廣播劇獎,鑼聲若響（參賽單位：財團法人慈濟傳播人文志業基金會）
105,節目獎,單元節目獎,詩歌人聲（參賽單位：內政部警政署警察廣播電臺）
105,個人獎,流行音樂節目主持人獎,馬世芳／音樂五四三（報名單位：台灣全民廣播電台股份有限公司）
105,個人獎,非流行音樂節目主持人獎,子雁、華姵／新客家空中音樂會（報名單位：新客家廣播事業股份有限公司）
105,個人獎,教育文化節目主持人獎,劉清彥、黃迺毓／閱讀推手（報名單位：好家庭廣播股份有限公司）
105,個人獎,兒童節目主持人獎,趙自強／九點強強滾（報名單位：台灣全民廣播電台股份有限公司）
105,個人獎,少年節目主持人獎,鄭晴、曹文娟／小太陽的天空（報名單位：內政部警政署警察廣播電臺）
105,個人獎,社會關懷節目主持人獎,王文心／生命大不同（報名單位：財團法人中央廣播電臺）
105,個人獎,藝術文化節目主持人獎,朱家綺／我的綺想世界（報名單位：財團法人中央廣播電臺）
105,個人獎,綜合節目主持人獎,林夢萍、王晴／到底想幹嘛（報名單位：內政部警政署警察廣播電臺）
105,個人獎,社區節目主持人獎,排灣小蔡【蔡文祥】、阿美姞荷【林祝素蘭】／Mapolong Kita（原來在一起）（報名單位：花蓮希望之聲廣播電台股份有限公司）
105,個人獎,企劃編撰獎,小茱姐姐【施賢琴】／賽恩思遊樂園（報名單位：國立教育廣播電臺）
105,個人獎,音效獎,吳坤龍、許淳清、蔡怡雯／生活繽紛樂-台灣故事廳（報名單位：正聲廣播股份有限公司高雄廣播電臺）
105,廣告獎,商品類廣告獎,HP筆電黃子佼篇（參賽單位：晴天整合行銷有限公司）
105,廣告獎,非商品類廣告獎,心動899曾經的美好系列形象廣告（參賽單位：新竹勞工之聲廣播股份有限公司）
105,電臺品牌行銷創新獎,電臺品牌行銷創新獎,POP大國民學測（參賽單位：台北流行廣播股份有限公司）
105,數位應用獎,數位應用獎,內政部警政署警察廣播電臺／當〝VR音聲〞遇上〝文化平權〞（報名單位：內政部警政署警察廣播電臺）
105,特別貢獻獎,特別貢獻獎,周進升先生（藝名：放送頭）吳芳如女士
106,節目獎,流行音樂節目獎,音樂五四三（參賽單位：台灣全民廣播電台）
106,節目獎,非流行音樂節目獎,蒙德里安調色盤（參賽單位：好家庭廣播股份有限公司）
106,節目獎,教育文化節目獎,方祖涵的運動筆記（參賽單位：財團法人台北勞工教育電台基金會）
106,節目獎,兒童節目獎,世界樂來樂好聽（參賽單位：國立教育廣播電臺）
106,節目獎,少年節目獎,聽青春在唱歌（參賽單位：臺北廣播電臺）
106,節目獎,社會關懷節目獎,21點聽台灣（參賽單位：財團法人中央廣播電臺）
106,節目獎,藝術文化節目獎,閱讀在午后（參賽單位：竹科廣播股份有限公司）
106,節目獎,綜合節目獎,舌尖上的文學（參賽單位：內政部警政署警察廣播電臺）
106,節目獎,社區節目獎,雲林好風情（參賽單位：正聲廣播股份有限公司雲林廣播電臺）
106,節目獎,廣播劇獎,大樹下聽故事（參賽單位：大樹下廣播電台股份有限公司）
106,節目獎,單元節目獎,健康也上「影」（參賽單位：內政部警政署警察廣播電臺）
106,個人獎,流行音樂節目主持人獎,邵大倫／寶島真無閒（報名單位：寶島新聲廣播電台股份有限公司）
106,個人獎,非流行音樂節目主持人獎,呂岱衛／蒙德里安調色盤（報名單位：好家庭廣播股份有限公司）
106,個人獎,教育文化節目主持人獎,蔡詩萍／POP大國民（報名單位：台北流行廣播股份有限公司）
106,個人獎,兒童節目主持人獎,唐妮【吳文嫦】／麻吉同學會（報名單位：國立教育廣播電臺）
106,個人獎,少年節目主持人獎,唐薇【林美吟】、鄭晴【鄭雅卿】／今天誰當家（報名單位：內政部警政署警察廣播電臺）
106,個人獎,社會關懷節目主持人獎,詹婉如、戴伸峰／21點聽台灣（報名單位：財團法人中央廣播電臺）
106,個人獎,藝術文化節目主持人獎,單煒明／不單單是藝術（報名單位：國立教育廣播電臺）
106,個人獎,綜合節目主持人獎,黃丹尼【黃柏文】／幽浮sports秀（報名單位：飛碟廣播股份有限公司）
106,個人獎,社區節目主持人獎,許世峰／雲林好風情（報名單位：正聲廣播股份有限公司雲林廣播電臺）
106,個人獎,企劃編撰獎,季潔【蔡宜穎】、錢志偉、唐妮【吳文嫦】、張敬【張維斌】／少年超優SHOW（報名單位：國立教育廣播電臺）
106,個人獎,音效獎,吳坤龍、許淳清、蔡怡雯／生活繽紛樂-台灣故事廳（報名單位：正聲廣播股份有限公司高雄廣播電臺）
106,廣告獎,商品類廣告獎,HP印表機耗材黃子佼篇（參賽單位：晴天整合行銷有限公司）
106,廣告獎,非商品類廣告獎,珍惜生命?7秒與7天篇（參賽單位：正聲廣播股份有限公司臺中廣播電臺）
106,電臺品牌行銷創新獎 ,電臺品牌行銷創新獎 ,POP Radio我素DJ系列活動（參賽單位：台北流行廣播股份有限公司）
106,創新研發應用獎,創新研發應用獎,王正豪、王聖銘、陳建志、張詠翔、廖元甫、蔡玉秀／閱聽讀寫新廣播-channel＋節目策展與人工智慧加值應用（報名單位：國立教育廣播電臺）
106,特別貢獻獎(得主),特別貢獻獎(得主),陶曉清女士
107,節目獎,流行音樂節目獎,娛樂e世代（參賽單位：中國廣播股份有限公司）
107,節目獎,非流行音樂節目獎,戀戀曾文溪（參賽單位：曾文溪廣播電台股份有限公司）
107,節目獎,教育文化節目獎,老師老師，為什麼（參賽單位：財團法人中央廣播電臺）
107,節目獎,兒童節目獎,賽恩思遊樂園（參賽單位：國立教育廣播電臺）
107,節目獎,少年節目獎,少年公民向前行（參賽單位：財團法人中央廣播電臺）
107,節目獎,社會關懷節目獎,聽見在地的聲音（參賽單位：漢聲廣播電臺）
107,節目獎,藝術文化節目獎,客家金誠舞（參賽單位：財團法人寶島客家廣播電台）
107,節目獎,綜合節目獎,自然有意思（參賽單位：國立教育廣播電臺）
107,節目獎,社區節目獎,幸福藏寶圖（參賽單位：正聲廣播股份有限公司臺北調頻廣播電臺）
107,節目獎,廣播劇獎,大樹下聽故事（參賽單位：大樹下廣播電台股份有限公司）
107,節目獎,單元節目獎,英文有意思（參賽單位：漢聲廣播電臺）
107,個人獎,流行音樂節目主持人獎,馬世芳／耳朵借我（報名單位：財團法人原住民族文化事業基金會）
107,個人獎,非流行音樂節目主持人獎,嘉仕【賴嘉仕】／戀戀曾文溪（報名單位：曾文溪廣播電台股份有限公司）
107,個人獎,教育文化節目主持人獎,詹婉如、戴伸峰／老師老師，為什麼（報名單位：財團法人中央廣播電臺）
107,個人獎,兒童節目主持人獎,依娜【黃怡馨】、Deborah【李諾亞】／woosa woosa 小學堂（報名單位：內政部警政署警察廣播電臺）
107,個人獎,少年節目主持人獎,唐妮【吳文嫦】、季潔【蔡宜穎】、張敬【張維斌】／少年超優SHOW（報名單位：國立教育廣播電臺）
107,個人獎,社會關懷節目主持人獎,洪世昌／人生路歌聲情（報名單位：國立教育廣播電臺）
107,個人獎,藝術文化節目主持人獎,陳煒智／臺灣電影筆記（報名單位：竹科廣播股份有限公司）
107,個人獎,綜合節目主持人獎,排灣小蔡【蔡文祥】、阿美姞荷【林祝素蘭】、Vali阿昌【林金昌】／原來在臺北（報名單位：臺北廣播電臺）
107,個人獎,社區節目主持人獎,排灣小蔡【蔡文祥】、阿美姞荷【林祝素蘭】／Mapolong Kita (原來在一起)（報名單位：花蓮希望之聲廣播電台股份有限公司）
107,個人獎,企劃編撰獎,鄭立明、廖南瑛、朱玉娟／青年轉動全球（報名單位：國立教育廣播電臺）
107,個人獎,音效獎,吳坤龍、許淳清、蔡怡雯／假日聽電影（報名單位：正聲廣播股份有限公司高雄廣播電臺）
107,廣告獎,商品類廣告獎,好物市集-我的百變馬麻篇（參賽單位：新傳媒股份有限公司）
107,廣告獎,非商品類廣告獎,紀念齊柏林導演-高度篇（參賽單位：中國廣播股份有限公司）
107,電臺品牌行銷創新獎,電臺品牌行銷創新獎,改變從聆聽開始　Be curious!（參賽單位：竹科廣播股份有限公司）
107,創新研發應用獎,創新研發應用獎,正聲廣播股份有限公司／在地雲廣播—傳統發散式廣播節目自動轉化為整合性網路電台之無人化系統開發（報名單位：正聲廣播股份有限公司）
107,特別貢獻獎,特別貢獻獎,陳合山先生（藝名：良山兄）
107,特別貢獻獎,特別貢獻獎,郭運森先生
108,節目獎,流行音樂節目獎,寶島真無閒（參賽單位：寶島新聲廣播電台股份有限公司）
108,節目獎,類型音樂節目獎,那些年我們一起唱的歌（參賽單位：財團法人中央廣播電臺）
108,節目獎,教育文化節目獎,詩情也綿綿（參賽單位：財團法人中央廣播電臺）
108,節目獎,兒童節目獎,酷客科學道館（參賽單位：國立教育廣播電臺）
108,節目獎,少年節目獎,青春好好Young（參賽單位：財團法人富邦文教基金會）
108,節目獎,社會關懷節目獎,閃亮新台客（參賽單位：國立教育廣播電臺）
108,節目獎,藝術文化節目獎,建築新樂園（參賽單位：財團法人台北勞工教育電台基金會）
108,節目獎,生活風格節目獎,全世界最亮的光（參賽單位：財團法人中央廣播電臺）
108,節目獎,社區節目獎,熱情東海岸（參賽單位：財團法人太魯閣之音廣播事業基金會）
108,節目獎,廣播劇獎,週日廣播劇（參賽單位：復興廣播電臺）
108,節目獎,單元節目獎,KISS旅行臺灣的一百種視角（參賽單位：大眾廣播股份有限公司）
108,個人獎,流行音樂節目主持人獎,吳建恆／娛樂E世代（報名單位：中國廣播股份有限公司）
108,個人獎,類型音樂節目主持人獎,管仁健、黎慧芝／那些年我們一起唱的歌（報名單位：財團法人中央廣播電臺）
108,個人獎,教育文化節目主持人獎,陳明珠／客家妹來打卡（報名單位：客家委員會（講客廣播電臺）
108,個人獎,兒童節目主持人獎,依娜【黃怡馨】、Deborah【李諾亞】／Woosa woosa 小學堂（報名單位：內政部警政署警察廣播電臺）
108,個人獎,少年節目主持人獎,K博士【錢偉鈞】、小魚【邱珮瑜】／Crazy實驗室（報名單位：國立教育廣播電臺）
108,個人獎,社會關懷節目主持人獎,余秀芷／45度角的天空（報名單位：漢聲廣播電臺）
108,個人獎,藝術文化節目主持人獎,李清志／建築新樂園（報名單位：財團法人台北勞工教育電台基金會）
108,個人獎,生活風格節目主持人獎,蔣偉文／蔣公廚房（報名單位：中國廣播股份有限公司）
108,個人獎,社區節目主持人獎,林清盛／熱情東海岸（報名單位：財團法人太魯閣之音廣播事業基金會）
108,個人獎,企劃編撰獎,內克【吳宇軒】、Amy【丁宛臻】、Xavier【馬鴻裕】、謙謙【徐瑋謙】／告白（報名單位：內政部警政署警察廣播電臺）
108,個人獎,音效獎,陳文彬／臺北都會劇場-一夜新娘（報名單位：臺北廣播電臺）
108,廣告獎,商品類廣告獎,大昌樂器行-情緒篇（參賽單位：王子音樂出版社）
108,廣告獎,非商品類廣告獎,電台父親節形象廣告-蔡傑爸-全職爸爸篇（參賽單位：好家庭廣播股份有限公司）
108,電臺品牌行銷創新獎,電臺品牌行銷創新獎,【元宵在一起‧台北101就在917】（參賽單位：台北流行廣播股份有限公司）
108,創新研發應用獎,創新研發應用獎,鄭明祈、郭欽元、陳俊諭／發射機運轉之物聯網系統開發（報名單位：行政院農業委員會漁業署漁業廣播電臺）
108,特別獎項,特別獎項,從缺
109,節目獎,流行音樂節目獎,Street Voice未來進行式（參賽單位：飛碟廣播股份有限公司）
109,節目獎,類型音樂節目獎,Jazz Supreme 爵士‧無所不在（參賽單位：財團法人台北勞工教育電台基金會）
109,節目獎,教育文化節目獎,雁子飛過台三線（參賽單位：財團法人客家公共傳播基金會）
109,節目獎,兒童節目獎,地球探險號（參賽單位：國立教育廣播電臺）
109,節目獎,少年節目獎,發現新鮮“市”（參賽單位：內政部警政署警察廣播電臺）
109,節目獎,社會關懷節目獎,礙運動（參賽單位：內政部警政署警察廣播電臺）
109,節目獎,藝術文化節目獎,生活AGOGO-說在地的故事（參賽單位：全國廣播股份有限公司）
109,節目獎,生活風格節目獎,食隨滋味（參賽單位：內政部警政署警察廣播電臺）
109,節目獎,社區節目獎,諸羅采風（參賽單位：正聲廣播股份有限公司嘉義廣播電臺）
109,節目獎,廣播劇獎,人生想想劇場（參賽單位：財團法人中央廣播電臺）
109,節目獎,單元節目獎,台灣幸福進行曲（參賽單位：好家庭廣播股份有限公司）
109,個人獎,流行音樂節目主持人獎,小樹／Street Voice未來進行式（報名單位：飛碟廣播股份有限公司）
109,個人獎,類型音樂節目主持人獎,徐崇育／Jazz Supreme 爵士‧無所不在（報名單位：財團法人台北勞工教育電台基金會）
109,個人獎,教育文化節目主持人獎,范欽慧／自然筆記（報名單位：國立教育廣播電臺）
109,個人獎,兒童節目主持人獎,依娜【黃怡馨】、Deborah【李諾亞】／大腳逛世界（報名單位：內政部警政署警察廣播電臺）
109,個人獎,少年節目主持人獎,端端【陳端慧】／青春創學院（報名單位：國立教育廣播電臺）
109,個人獎,社會關懷節目主持人獎,尚恩【黃彥翔】、倚樂【陳怡蓓】、旁白哥【孫銘宏】、Manga【吳曼嘉】／礙運動（報名單位：內政部警政署警察廣播電臺）
109,個人獎,藝術文化節目主持人獎,端端【陳端慧】／世界夢想表演廳（報名單位：國立教育廣播電臺）
109,個人獎,生活風格節目主持人獎,流氓阿德【黃永德】／全世界最亮的光（報名單位：財團法人中央廣播電臺）
109,個人獎,社區節目主持人獎,楊長順／日出的所在（報名單位：正聲廣播股份有限公司雲林廣播電臺）
109,個人獎,企劃編撰獎,奇林Michael【林祺宏】、徐凡【徐豫梅】、董娘【董麗琴】、林彥伯、黃裕元、林佩蓉、Joey【劉怡彣】、咪可Miko【李虹靚】／寶島記事簿（報名單位：國立教育廣播電臺）
109,個人獎,音效獎,吳坤龍、蔡怡雯、林憲鋐／假日聽電影（報名單位：正聲廣播股份有限公司高雄廣播電臺）
109,廣告獎,商品類廣告獎,昇達輪胎無所不在 一路向前守護全台（參賽單位：正聲廣播股份有限公司臺北廣播  電臺）
109,廣告獎,非商品類廣告獎,防疫宣導（參賽單位：灰姑娘音樂製作有限公司）
109,電臺品牌行銷創新獎,電臺品牌行銷創新獎,【疫情平安 一起平安】廣播與數位專題影音展（參賽單位：好家庭廣播股份有限公司）
109,創新研發應用獎,創新研發應用獎,國立教育廣播電臺／數位化廣播體驗-麥寶電波行動錄音室（報名單位：國立教育廣 播電臺）
109,特別獎項,特別獎項,從缺
